session,subjid,agent,costCond,visibilityCond,resourceCond,counterbalance,ownBPsize,points,step_expense,step_other_expense,energy_expense,other_expense,helping_event,steps,helpful_steps,helped,partnerHelped,partnerHelpingEvents,partnerHelpfulSteps
VVQ14G1K25VOFw,VVQ14G1K25VOFwred,red,low,self,uneven,9.0,5,3050,544.0,11.0,544.0,11.0,1,485,9,True,False,0,0
VdA2R2IUgWwoE0,VdA2R2IUgWwoE0purple,purple,high,full,uneven,11.0,3,808,550.0,9.0,984.0,18.0,3,521,9,True,True,8,59
VdA2R2IUgWwoE0,VdA2R2IUgWwoE0red,red,high,full,uneven,11.0,5,828,546.5,41.0,1007.0,82.0,8,526,59,True,True,3,9
WDQco1ZEzMk9t4,WDQco1ZEzMk9t4purple,purple,high,self,uneven,5.0,5,1230,446.0,75.0,892.0,150.0,23,459,75,True,True,13,51
WDQco1ZEzMk9t4,WDQco1ZEzMk9t4red,red,high,self,uneven,5.0,3,1016,498.0,47.0,946.0,94.0,13,455,51,True,True,23,75
WS4jHMiQ5Wvznv,WS4jHMiQ5Wvznvpurple,purple,low,self,even,14.0,4,2917,552.0,0.0,552.0,0.0,0,514,0,False,True,2,18
WS4jHMiQ5Wvznv,WS4jHMiQ5Wvznvred,red,low,self,even,14.0,4,2879,580.0,18.0,580.0,18.0,2,531,18,True,False,0,0
Wc6dBMYJqBoTgM,Wc6dBMYJqBoTgMpurple,purple,high,self,even,3.0,4,1315,454.0,75.0,869.0,150.0,18,435,87,True,True,19,85
Wc6dBMYJqBoTgM,Wc6dBMYJqBoTgMred,red,high,self,even,3.0,4,1138,469.0,73.0,904.0,146.0,19,468,85,True,True,18,87
WfKAXB16bRWIhN,WfKAXB16bRWIhNpurple,purple,high,full,uneven,9.0,3,365,549.5,0.0,1089.0,0.0,0,604,0,False,False,0,0
WfKAXB16bRWIhN,WfKAXB16bRWIhNred,red,high,full,uneven,9.0,5,1238,455.5,0.0,894.0,0.0,0,484,0,False,False,0,0
Ws3gYpmT60Husl,Ws3gYpmT60Huslpurple,purple,low,full,even,10.0,4,3166,517.0,13.0,517.0,13.0,2,471,13,True,True,2,11
Ws3gYpmT60Husl,Ws3gYpmT60Huslred,red,low,full,even,10.0,4,3184,517.0,11.0,517.0,11.0,2,473,11,True,True,2,13
WtknHVwSndxWVi,WtknHVwSndxWVipurple,purple,high,full,uneven,0.0,5,1156,474.5,18.0,919.0,36.0,4,498,24,True,True,2,10
WtknHVwSndxWVi,WtknHVwSndxWVired,red,high,full,uneven,0.0,3,421,558.5,6.0,1087.0,12.0,2,597,10,True,True,4,24
WxnxzmERexQ5bW,WxnxzmERexQ5bWpurple,purple,high,full,uneven,1.0,5,1104,457.0,166.0,914.0,332.0,38,472,166,True,True,27,147
WxnxzmERexQ5bW,WxnxzmERexQ5bWred,red,high,full,uneven,1.0,3,1321,439.0,142.0,873.0,284.0,27,438,147,True,True,38,166
X0iPMkJ7Liehhg,X0iPMkJ7Liehhgpurple,purple,high,full,uneven,0.0,5,1186,469.0,106.0,904.0,212.0,25,476,106,True,True,20,96
X0iPMkJ7Liehhg,X0iPMkJ7Liehhgred,red,high,full,uneven,0.0,3,607,540.0,92.0,1050.0,184.0,20,521,96,True,True,25,106
X5wp8pn3jjnYZN,X5wp8pn3jjnYZNpurple,purple,low,full,uneven,10.0,3,2395,647.0,9.0,647.0,9.0,1,584,9,True,True,5,28
