session,gameNum,turnCount,objectLayer,costCond,visibilityCond,resourceCond,redFirst,counterbalance,purpleBackpackSize,purpleEnergy,purpleScore,purplePoints,purplePointsCumulative,redBackpackSize,redEnergy,redScore,redPoints,redPointsCumulative,step_expense,step_other_expense,energy_expense,other_expense,helping_event,steps,helpful_steps,helped,purpleHelped,redHelped,purpleHelpingEvents,redHelpingEvents,purpleHelpfulSteps,redHelpfulSteps,environment,nRedVeg,nPurpVeg,patchUniformity,nPatches,patchSize
9L0u3N594S7Tk5,9,17,Items04,high,self,even,False,6.0,4,0,7,0,660,4,0,7,0,671,100.0,0.0,200.0,0.0,0,98,0,False,False,False,0,0,0,0,5,7,7,True,5,"3,2,2,2,2,3"
9L0u3N594S7Tk5,10,17,Items10,high,self,even,False,6.0,4,0,7,0,660,4,0,7,0,671,100.0,0.0,200.0,0.0,0,112,0,False,False,False,0,0,0,0,11,7,7,True,5,"3,2,2,2,2,3"
9L0u3N594S7Tk5,11,12,Items02,high,self,even,True,6.0,4,41,3,123,783,4,4,5,20,691,80.0,0.0,155.0,0.0,0,67,0,False,False,False,0,0,0,0,3,5,3,True,2,"5,3"
9Ww7oIT2IOq2Z2,0,9,Items06,low,full,even,True,4.0,4,74,4,296,296,4,71,4,284,284,55.0,0.0,55.0,0.0,0,52,0,False,False,False,0,0,0,0,7,4,4,True,2,"4,4"
9Ww7oIT2IOq2Z2,1,17,Items05,low,full,even,True,4.0,4,32,7,224,508,4,35,7,245,529,133.0,0.0,133.0,0.0,0,124,0,False,False,False,0,0,0,0,6,7,7,False,5,"3,2,2,2,2,3"
9Ww7oIT2IOq2Z2,2,9,Items00,low,full,even,True,4.0,4,74,4,296,783,4,71,4,284,813,55.0,0.0,55.0,0.0,0,52,0,False,False,False,0,0,0,0,1,4,4,True,2,"4,4"
9Ww7oIT2IOq2Z2,3,11,Items01,low,full,even,True,4.0,4,52,4,208,979,4,69,4,276,1089,79.0,10.0,79.0,10.0,2,73,10,True,True,True,1,1,8,2,2,4,4,False,2,"4,4"
9Ww7oIT2IOq2Z2,4,17,Items11,low,full,even,True,4.0,4,38,7,266,1233,4,49,7,343,1432,113.0,14.0,113.0,14.0,6,104,14,True,True,True,3,3,3,11,12,7,7,False,5,"3,2,2,2,2,3"
9Ww7oIT2IOq2Z2,5,9,Items07,low,full,even,False,4.0,4,71,4,284,1496,4,74,4,296,1728,55.0,28.0,55.0,28.0,6,52,28,True,True,True,3,3,13,15,8,4,4,False,2,"4,4"
9Ww7oIT2IOq2Z2,6,19,Items04,low,full,even,False,4.0,4,23,7,161,1657,4,30,7,210,1926,147.0,46.0,147.0,46.0,8,131,46,True,True,True,4,4,29,17,5,7,7,True,5,"3,2,2,2,2,3"
